0,343.75,812.5,375
1,281.25,968.75,-31.25
2,250,968.75,-62.5
3,-31.25,937.5,-343.75
4,-156.25,1000,31.25
0,375,781.25,437.5
1,281.25,968.75,0
2,281.25,968.75,-62.5
3,-31.25,937.5,-343.75
4,-156.25,1000,31.25
0,24780,-7017.5,-6125
1,233.386,770.064,375.882
0,5197.5,-1592.5,507.5
1,251.076,801.296,328.79
0,-2555,-3342.5,2257.5
1,279.502,765.184,328.668
0,-7560,-1785,5582.5
1,266.448,799.588,276.696
0,-15505,8890,3797.5
1,259.616,739.564,422.608
0,-3062.5,4515,4200
1,286.212,732.854,370.026
0,-4742.5,4340,1610
1,243.878,730.658,391.376
0,-5740,5810,3552.5
1,259.006,744.444,381.128
0,343.75,781.25,406.25
1,281.25,968.75,31.25
2,218.75,1000,0
3,-62.5,937.5,-343.75
4,-156.25,1000,31.25
0,343.75,812.5,437.5
1,250,1000,93.75
2,218.75,968.75,0
3,-62.5,906.25,-375
4,-156.25,1000,0
0,343.75,812.5,375
1,281.25,1000,0
2,250,1031.25,31.25
3,-62.5,906.25,-281.25
4,-187.5,1062.5,93.75
0,343.75,781.25,312.5
1,218.75,906.25,62.5
2,187.5,937.5,-62.5
3,-62.5,937.5,-437.5
4,-187.5,1000,62.5
0,343.75,812.5,406.25
1,312.5,968.75,-31.25
2,281.25,1000,-62.5
3,-31.25,937.5,-468.75
4,-93.75,1062.5,0
0,343.75,843.75,343.75
1,250,968.75,62.5
2,218.75,1031.25,31.25
3,-31.25,875,-406.25
4,-156.25,1031.25,0
0,375,906.25,343.75
1,281.25,1000,-31.25
2,281.25,1000,-62.5
3,-31.25,875,-468.75
4,-156.25,1031.25,-31.25
0,468.75,843.75,312.5
1,343.75,937.5,-93.75
2,312.5,937.5,-93.75
3,31.25,843.75,-562.5
4,-125,968.75,-125
0,312.5,843.75,343.75
1,250,1000,125
2,93.75,875,0
3,-62.5,593.75,-281.25
4,-156.25,1031.25,-125
0,468.75,812.5,343.75
1,312.5,906.25,0
