
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, pinky code: ( -93.75, 968.75, 156.25 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, ring code: ( 250.00, 906.25, -156.25 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, accelerometer code: ( 156.25, 843.75, 406.25 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, gyrob code: ( -250.00, -531.25, 718.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, Thumb code: ( -250.00, -562.50, 718.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, index code: ( 93.75, 843.75, 406.25 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, middle code: ( 375.00, 843.75, 250.00 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, pinky code: ( -125.00, 968.75, 187.50 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, ring code: ( 281.25, 906.25, -156.25 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, accelerometer code: ( 93.75, 843.75, 406.25 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, gyrob code: ( -250.00, -562.50, 718.75 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, Thumb code: ( -312.50, -625.00, 750.00 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, index code: ( 31.25, 906.25, 375.00 )
Data: BluetoothLE#BluetoothLEe4:a4:71:4b:98:2a-e5:3d:37:78:60:e9, middle code: ( 343.75, 812.50, 250.00 )
